,Region codes,Region,Data item,2022-23
2,1,New South Wales,Apples - Production (t),"38,953"
3,1,New South Wales,Apples - Farm gate value ($m),88.4
4,2,Victoria,Apples - Production (t),"130,177"
5,2,Victoria,Apples - Farm gate value ($m),295.3
6,3,Queensland,Apples - Production (t),"30,075"
7,3,Queensland,Apples - Farm gate value ($m),68.2
8,4,South Australia,Apples - Production (t),"27,256"
9,4,South Australia,Apples - Farm gate value ($m),61.8
10,5,Western Australia,Apples - Production (t),"29,193"
11,5,Western Australia,Apples - Farm gate value ($m),66.2
12,6,Tasmania,Apples - Production (t),"29,523"
13,6,Tasmania,Apples - Farm gate value ($m),67.0
16,1,New South Wales,Apricots - Production (t),81
17,1,New South Wales,Apricots - Farm gate value ($m),0.3
18,2,Victoria,Apricots - Production (t),"1,391"
19,2,Victoria,Apricots - Farm gate value ($m),5.3
20,3,Queensland,Apricots - Production (t),38
21,3,Queensland,Apricots - Farm gate value ($m),0.1
22,4,South Australia,Apricots - Production (t),569
23,4,South Australia,Apricots - Farm gate value ($m),2.2
24,5,Western Australia,Apricots - Production (t),66
25,5,Western Australia,Apricots - Farm gate value ($m),0.3
26,6,Tasmania,Apricots - Production (t),351
27,6,Tasmania,Apricots - Farm gate value ($m),1.3
30,1,New South Wales,Avocados - Production (t),"12,966"
31,1,New South Wales,Avocados - Farm gate value ($m),63.0
32,2,Victoria,Avocados - Production (t),"3,615"
33,2,Victoria,Avocados - Farm gate value ($m),17.6
34,3,Queensland,Avocados - Production (t),"74,957"
35,3,Queensland,Avocados - Farm gate value ($m),364.3
36,4,South Australia,Avocados - Production (t),"2,994"
37,4,South Australia,Avocados - Farm gate value ($m),14.6
38,5,Western Australia,Avocados - Production (t),"20,782"
39,5,Western Australia,Avocados - Farm gate value ($m),101.0
40,6,Tasmania,Avocados - Production (t),70
41,6,Tasmania,Avocados - Farm gate value ($m),0.3
44,1,New South Wales,Bananas - Production (t),"14,970"
45,1,New South Wales,Bananas - Farm gate value ($m),23.3
46,3,Queensland,Bananas - Production (t),"351,796"
47,3,Queensland,Bananas - Farm gate value ($m),548.3
48,5,Western Australia,Bananas - Production (t),"6,549"
49,5,Western Australia,Bananas - Farm gate value ($m),10.2
50,7,Northern Territory,Bananas - Production (t),936
51,7,Northern Territory,Bananas - Farm gate value ($m),1.5
54,1,New South Wales,Blueberries - Production (t),"17,301"
55,1,New South Wales,Blueberries - Farm gate value ($m),361.4
56,2,Victoria,Blueberries - Production (t),404
57,2,Victoria,Blueberries - Farm gate value ($m),8.4
58,3,Queensland,Blueberries - Production (t),758
59,3,Queensland,Blueberries - Farm gate value ($m),15.8
60,4,South Australia,Blueberries - Production (t),101
61,4,South Australia,Blueberries - Farm gate value ($m),2.1
62,5,Western Australia,Blueberries - Production (t),435
63,5,Western Australia,Blueberries - Farm gate value ($m),9.1
64,6,Tasmania,Blueberries - Production (t),"1,213"
65,6,Tasmania,Blueberries - Farm gate value ($m),25.3
68,1,New South Wales,Cherries - Production (t),"4,179"
69,1,New South Wales,Cherries - Farm gate value ($m),72.6
70,2,Victoria,Cherries - Production (t),"4,262"
71,2,Victoria,Cherries - Farm gate value ($m),74.0
72,3,Queensland,Cherries - Production (t),38
73,3,Queensland,Cherries - Farm gate value ($m),0.7
74,4,South Australia,Cherries - Production (t),"2,373"
75,4,South Australia,Cherries - Farm gate value ($m),41.2
76,5,Western Australia,Cherries - Production (t),469
77,5,Western Australia,Cherries - Farm gate value ($m),8.1
78,6,Tasmania,Cherries - Production (t),"3,794"
79,6,Tasmania,Cherries - Farm gate value ($m),65.9
82,1,New South Wales,Custard Apples - Production (t),641
83,1,New South Wales,Custard Apples - Farm gate value ($m),4.3
84,3,Queensland,Custard Apples - Production (t),683
